,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
63,0.906,0.0299,157.839,0.153,0.244,5.7e-05,0.7,248613,-6.251,0.758,1rC3KBb8TJDotyCHTOdi1Q,Energetic
64,0.94,0.0567,139.993,0.237,0.0708,6.31e-06,0.622,252353,-3.877,0.681,2aDYLbggUigB1wMMuk5XW9,Energetic
65,0.984,0.132,144.881,0.175,0.3,0.0,0.731,202023,-2.479,0.912,2ll0Hczs61IOC6Jj7igd4T,Energetic
66,0.912,0.144,110.671,0.133,0.362,0.000179,0.914,242600,-7.071,0.903,0OAj4SUdzQsjSvdTF6ycwj,Energetic
67,0.682,0.224,127.982,0.157,0.432,0.00379,0.856,301173,-8.146,0.767,3vli2UCALTW8ujkqWpiyk8,Energetic
68,0.832,0.343,131.986,0.0676,0.294,0.0,0.795,255413,-3.215,0.773,6O4o7wNL8oasn1l7pic8pp,Energetic
69,0.739,0.431,75.068,0.235,0.236,0.0,0.772,276547,-10.85,0.918,34MfU7vr3q30AppyJPv1UY,Energetic
70,0.884,0.0255,110.753,0.17,0.0851,0.0,0.53,270686,-7.969,0.717,3ClsJPnz86ccD1Ms00Cgnu,Energetic
71,0.883,0.164,120.027,0.447,0.132,0.0,0.626,279999,-4.148,0.75,4pYqXPkj0LQmKkNTKfgttd,Energetic
72,0.61,0.106,82.448,0.0724,0.0158,0.000316,0.79,242333,-7.625,0.618,65efuay5n4Qap3lp8Vlo9a,Energetic
73,0.799,0.389,133.312,0.0979,0.625,0.0,0.734,281873,-5.406,0.646,2t1hvZAQqu5LaYUv7BqXIr,Energetic
74,0.974,0.0836,175.022,0.271,0.036,0.0032,0.735,288013,-5.523,0.661,4YWWiOxPnJ55rsbKtgyuJK,Energetic
75,0.728,0.253,76.51,0.155,0.0925,0.0014,0.751,287022,-8.13,0.86,7wqjb0emCNhXXrqbI6cc7F,Energetic
76,0.943,0.206,150.003,0.352,0.243,0.0,0.475,301331,-4.364,0.609,3n2WA6kTQMaXMSN6uRsSuv,Energetic
77,0.935,0.31,135.018,0.267,0.07,0.0301,0.575,362533,-4.585,0.611,5umZ6neIVGL9iPTMsWyMR9,Energetic
78,0.74,0.077,188.798,0.515,0.245,0.0,0.676,350067,-6.106,0.503,7aIXlKqa9nMwll8s5uAU0G,Energetic
79,0.931,0.135,79.476,0.299,0.437,1.06e-05,0.865,279320,-4.798,0.753,3JNgvfMjwnAlA45Jt190rI,Energetic
80,0.951,0.331,78.78,0.118,0.0204,0.000369,0.423,259973,-1.726,0.768,4bmEs7Wlggk7DuMQhV6Fyb,Energetic
81,0.737,0.211,121.99,0.0764,0.0316,0.000322,0.827,187711,-5.473,0.873,3BhjbaGeI7E0CiIjctfdD3,Energetic
82,0.947,0.0721,130.043,0.0321,0.0906,0.0221,0.742,215076,-3.749,0.88,4mQpBIJKBpd8lcrtZ73SP8,Energetic
83,0.956,0.294,90.005,0.071,0.289,0.0,0.693,301587,-5.012,0.665,1vSXwYeKnzsVvekSpqVabx,Energetic
84,0.917,0.187,150.132,0.223,0.177,0.0,0.525,259293,-6.519,0.644,3CAGlz3CBoUUg5ydX2DoCn,Energetic
85,0.869,0.206,161.964,0.274,0.374,0.000199,0.544,255960,-4.616,0.834,2NlPuIRLy3YMN9Jb3UjDhm,Energetic
86,0.99,0.316,81.988,0.321,0.495,1.35e-06,0.659,255000,-3.123,0.513,425hbOGwCFk16TZy4orW0h,Energetic
87,0.927,0.052,159.956,0.134,0.195,0.00592,0.799,299233,-6.829,0.941,28lNs5mJWeKMuhVIeXU6Sy,Energetic
88,0.871,0.0778,130.113,0.127,0.445,0.00131,0.833,277833,-7.696,0.8,4L34pBO5yxmqb6naQPFivT,Energetic
89,0.735,0.0979,179.807,0.167,0.228,2.24e-06,0.547,275999,-5.349,0.81,3SYO2drjHOVjKoc88TanVY,Energetic
90,0.845,0.314,169.434,0.281,0.332,0.0,0.699,282000,-8.072,0.825,17t8w97umtBmeyitWE5C8Z,Energetic
91,0.914,0.0812,84.023,0.13,0.386,0.00313,0.74,327381,-7.747,0.871,6lgCke8lYWb0663BTK7J9k,Energetic
92,0.9,0.0755,155.996,0.182,0.314,0.111,0.745,239003,-4.461,0.65,24OhVPhDybh6Xf0TJElIVN,Energetic
93,0.906,0.0677,173.985,0.177,0.227,0.000247,0.721,260307,-4.544,0.96,3tvvJopWUUxG3qvUgW8Vc5,Energetic
94,0.686,0.0708,147.991,0.0416,0.0185,3.11e-05,0.741,279653,-7.085,0.577,2VzPECuzpyrb6i517pckGb,Energetic
95,0.875,0.0843,120.003,0.136,0.617,4.59e-06,0.844,246077,-4.526,0.953,1DCbtnToV2eQWqnSyoaM4l,Energetic
96,0.643,0.0997,98.984,0.236,0.00912,0.0,0.935,264667,-7.015,0.465,6SkMXIqCaFtWwtwXLHVpmz,Energetic
97,0.853,0.0999,133.107,0.174,0.485,6.09e-06,0.806,308454,-5.753,0.818,7sjSVvMeeIPJCoddBKTOyG,Energetic
98,0.849,0.0762,119.219,0.161,0.238,0.000367,0.654,262067,-8.752,0.833,44OEXE0l8fdx6oaKexx2G5,Energetic
99,0.825,0.817,144.973,0.321,0.25,7.54e-05,0.773,289724,-5.798,0.645,6fekFbmemX0Pj1E6VgR47n,Energetic
0,0.327,0.108,97.016,0.0352,0.555,0.0,0.611,312033,-15.109,0.431,5KfLr5UF3iQN0ifFMQH0ol,Relaxing
1,0.361,0.151,103.0,0.0298,0.565,0.119,0.718,316680,-9.74,0.446,13wIQbwSuQ4YFvDvtQgSVc,Relaxing
2,0.293,0.132,143.804,0.0431,0.595,0.0154,0.694,299147,-16.278,0.637,3vxy9D4qd7TO4j6Gi2zmXo,Relaxing
3,0.438,0.0862,82.012,0.164,0.0303,9.79e-06,0.766,360880,-13.101,0.331,3kjpq6QXeJTgPbC1ed8wql,Relaxing
4,0.548,0.0791,193.671,0.331,0.237,0.0,0.474,341387,-8.614,0.676,1n5gnI3Wue9WBpYFOIQNh1,Relaxing
5,0.729,0.105,127.998,0.0303,0.0117,0.000136,0.56,356719,-6.528,0.259,6A79kP682lpUXnwcl5575F,Relaxing
6,0.295,0.111,94.932,0.0379,0.912,0.00916,0.198,193268,-11.805,0.0593,20dLgt3WQuNIVvHvUmnar8,Relaxing
7,0.246,0.0977,119.836,0.03,0.834,0.00279,0.55,251000,-12.503,0.218,47Cd4WP1ZOK8WXC68kqZ03,Relaxing
8,0.478,0.111,130.052,0.0371,0.639,0.00203,0.772,348207,-11.146,0.245,76UZxtnQZvglMQQbGFYmWx,Relaxing
9,0.531,0.108,139.911,0.0336,0.687,0.0,0.6,228214,-6.5,0.308,2x1R5G71p2UsLEQtH6gtdL,Relaxing
10,0.577,0.264,90.012,0.0432,0.451,3.98e-06,0.575,282208,-6.674,0.157,5cfKBuE5XKtlaNOVjQwA9H,Relaxing
11,0.826,0.204,160.025,0.049,0.298,0.0,0.467,285250,-3.885,0.417,0zsA45R0SQPfqC5TyDOqY8,Relaxing
12,0.776,0.109,159.906,0.0807,0.141,0.0,0.587,235500,-4.892,0.606,7fec0UcxeHVe6kHIez2GSs,Relaxing
13,0.414,0.257,136.93,0.0343,0.678,2.26e-05,0.58,266053,-10.928,0.27,5RR6Q4yCrbGiRCU5YbpNaY,Relaxing
14,0.43,0.132,115.01,0.0407,0.6,2.49e-06,0.687,369333,-10.31,0.241,4vlMdXsRpAIXYggwbNHZSv,Relaxing
15,0.496,0.11,131.969,0.0508,0.845,0.0,0.721,235392,-8.063,0.217,23bpCCVsTUKviTEfoy4tbM,Relaxing
16,0.603,0.184,158.125,0.0367,0.558,0.0,0.261,352711,-6.733,0.207,7mLEUzAulFygMchoGMrP8E,Relaxing
17,0.619,0.146,90.034,0.0344,0.372,7.67e-06,0.549,251787,-6.924,0.407,6zdikHQs2PBFgGIZBxqOeV,Relaxing
18,0.515,0.11,109.891,0.0453,0.616,0.000137,0.621,216000,-9.019,0.657,7BmMMyrqkh1LFANJpJHT1r,Relaxing
19,0.586,0.12,195.092,0.0479,0.483,0.0,0.416,267341,-8.83,0.502,4yBnYuHh2ygMxtcoCUp6A1,Relaxing
20,0.29,0.54,179.779,0.0385,0.552,3.84e-06,0.393,320235,-9.136,0.296,5jkH9Pgv28mW9ve6uGtohT,Relaxing
21,0.442,0.0922,73.963,0.043,0.716,0.000788,0.57,268456,-9.656,0.53,5ghbwjKyLxrD1Q8913TlgH,Relaxing
22,0.355,0.043,101.04,0.0253,0.803,0.0,0.579,239507,-9.323,0.309,7gwuIhFmNaf3wcRWG1WadD,Relaxing
23,0.235,0.107,82.511,0.0411,0.891,2.98e-06,0.331,275504,-13.816,0.252,5KW8kOHmXqkDEdj6JyP3dJ,Relaxing
24,0.24,0.258,128.01,0.0327,0.863,0.00792,0.498,287258,-12.618,0.157,5b61qMMG0LjnwMDuvJFFqZ,Relaxing
25,0.6,0.168,120.006,0.0397,0.191,0.0,0.67,303381,-9.251,0.66,3lKfblrmg9wwRbK6y8EUkl,Relaxing
26,0.395,0.189,172.014,0.0392,0.208,0.000665,0.613,378560,-14.281,0.455,3DU8cZOlFamdmNclaHjJiy,Relaxing
27,0.558,0.186,118.007,0.0256,0.443,0.0,0.687,269832,-5.858,0.617,0srLmMJws5nv8d1n9qrtro,Relaxing
28,0.451,0.149,144.919,0.0278,0.776,0.000181,0.664,252689,-6.95,0.304,6s6evoMsDwWqjTvqbvbs5F,Relaxing
29,0.408,0.115,182.961,0.0629,0.575,0.0,0.329,268684,-10.672,0.408,2gp0OtnltLdrcNhKHVL2qM,Relaxing
30,0.343,0.0801,119.958,0.0286,0.306,4.85e-05,0.739,330200,-7.831,0.29,1XscMS790b4g5GmCnnO8HX,Relaxing
31,0.53,0.116,95.971,0.0327,0.412,4.97e-06,0.69,327067,-8.95,0.307,6dOmP7QmrdpsiEA8omsOEt,Relaxing
32,0.623,0.167,107.013,0.0442,0.116,1.38e-05,0.885,309173,-7.888,0.363,7uQlCXY5sxeyETkHZvTo0v,Relaxing
33,0.478,0.118,93.418,0.0274,0.569,0.000371,0.643,329840,-9.376,0.317,6old0mA1IHi5lw2yLv3ri6,Relaxing
34,0.532,0.103,136.962,0.0365,0.286,0.0016,0.747,374760,-8.897,0.634,2DnfC8ghXPQgn1SKPCCL6S,Relaxing
35,0.453,0.244,116.013,0.0971,0.275,4.02e-05,0.471,315493,-8.354,0.587,5UOFLYC30Ajp7woaZUHgw0,Relaxing
36,0.41,0.0883,168.061,0.0455,0.27,0.00548,0.696,314440,-9.455,0.708,3mgu1ZvnUUDDl2lDFdrKaI,Relaxing
37,0.497,0.116,142.499,0.0371,0.472,0.0,0.715,308243,-9.914,0.396,00bHxCcteaAJhU5WiP1mtf,Relaxing
38,0.426,0.0654,93.012,0.0259,0.362,0.000138,0.702,326667,-10.732,0.425,0Bmsyr5cSBRdls7yFswkhL,Relaxing
39,0.457,0.433,99.902,0.0336,0.271,2.65e-05,0.324,266640,-8.683,0.225,4LK8863ScRhhT6hitFfBI5,Relaxing
40,0.333,0.12,139.851,0.0277,0.839,0.0191,0.53,192533,-9.658,0.153,3Ajj1eKaO0fg9YWeAE5vVU,Relaxing
41,0.371,0.101,129.871,0.0291,0.891,0.000114,0.501,275093,-11.093,0.286,5PNZX8yqzqqAMPpl3UAoaP,Relaxing
42,0.571,0.193,90.986,0.0341,0.0439,0.000215,0.793,333600,-6.289,0.692,25SOVnk2agskqzqeKPcx2Q,Relaxing
43,0.652,0.391,109.989,0.0335,0.356,0.00272,0.741,326133,-7.066,0.578,1f8qyYxGtcBkFfB6jDK0C2,Relaxing
44,0.414,0.117,61.016,0.0426,0.416,2.14e-05,0.626,313028,-9.245,0.15,32j96Gl0BjQHAVdMPxin43,Relaxing
45,0.299,0.15,87.995,0.0336,0.684,2.42e-06,0.614,309107,-16.16,0.418,4ozxqvQ1b6z3ItRyYixXjx,Relaxing
46,0.641,0.392,96.128,0.0476,0.176,0.00017,0.627,304576,-7.312,0.481,5bGTH4DJiCg245xCATXZrH,Relaxing
47,0.423,0.126,91.007,0.0321,0.83,0.00141,0.696,299911,-9.243,0.432,6Eon1DjI712yg69mi3MsAd,Relaxing
48,0.667,0.114,82.875,0.0363,0.5,1.33e-06,0.618,295507,-7.8,0.402,2L7T4vKJ9Z1KJiKf7maSWi,Relaxing
49,0.318,0.166,91.074,0.0311,0.425,1.58e-06,0.639,351720,-11.589,0.594,3Cq5W6HTcwVKM4g3Et1gXW,Relaxing
50,0.424,0.169,119.823,0.0359,0.844,0.00381,0.589,396467,-12.006,0.561,7hMKAmUlUUYa5qEiHWK4bk,Relaxing
51,0.485,0.122,175.991,0.0348,0.7,3.28e-05,0.389,416320,-8.961,0.249,7mMkw0JFKnyMS6oGRT6b3O,Relaxing
52,0.596,0.247,110.055,0.0278,0.293,3.67e-05,0.665,264507,-6.969,0.644,0xttqqTj7ZAGyVkfOYxQ4F,Relaxing
53,0.436,0.197,115.917,0.0321,0.672,0.00678,0.773,322507,-10.972,0.533,2WO5nzB7QtKn9ZRc9Jkalt,Relaxing
54,0.528,0.112,92.021,0.0312,0.257,0.0019,0.706,283347,-7.431,0.634,3YfG9ch4qcYbDhwVtDuzQm,Relaxing
55,0.803,0.0741,144.024,0.0366,0.275,1.7e-05,0.746,308787,-3.813,0.831,3RVKJOoIVKXicFvNO7b2iK,Relaxing
56,0.776,0.127,85.942,0.0828,0.446,0.0,0.678,308162,-5.827,0.625,5Nuv6312XkkZd82AnnSc9g,Relaxing
57,0.446,0.147,119.994,0.0321,0.486,0.00102,0.822,320960,-8.899,0.654,5TL3UHuEBRMPbAIAOiPJmc,Relaxing
58,0.419,0.097,92.015,0.031,0.295,5.74e-06,0.68,329280,-9.157,0.181,73dPMLKVaaOSS0TWe8oNmw,Relaxing
59,0.389,0.103,134.976,0.0336,0.509,7.8e-06,0.647,313533,-10.35,0.436,5KJSI1MjQeXEBHBYMjgP41,Relaxing
60,0.66,0.131,179.983,0.0351,0.126,0.000238,0.572,387200,-7.422,0.585,7gaysiOWpGoNQocrSwa1yM,Relaxing
61,0.426,0.11,114.945,0.0742,0.418,2.23e-05,0.803,274853,-11.54,0.556,6Z8oU8xMOie24Cflh2Sw6p,Relaxing
62,0.364,0.0904,149.819,0.03,0.893,7.88e-05,0.504,208440,-9.277,0.365,6H1hnJRQOGQ9djPL3jNu9G,Relaxing
63,0.521,0.112,142.266,0.0391,0.579,3.46e-06,0.47,288360,-11.142,0.328,41R1Bncj65x9B6zL1z5BCp,Relaxing
64,0.595,0.0813,144.859,0.0273,0.262,0.0,0.489,223327,-3.788,0.459,7fttjqzmvgvpRQoOzyYng3,Relaxing
65,0.663,0.101,92.997,0.0619,0.3,2.96e-06,0.674,366507,-8.886,0.287,5jOi67yXzjpMdl6KFNWSIe,Relaxing
66,0.502,0.094,91.853,0.0405,0.675,1.67e-05,0.471,392080,-6.989,0.522,16jOVIIrpo7XV8KOnx4ZwX,Relaxing
67,0.464,0.0457,108.994,0.0254,0.716,0.0112,0.697,362533,-8.832,0.382,4ccJUGIKd3Ul2IUYetNlWB,Relaxing
68,0.705,0.0878,75.031,0.0364,0.499,0.000124,0.608,324373,-5.525,0.733,5DYfTyqUNBmOnQtljQjYk2,Relaxing
69,0.551,0.178,136.899,0.0612,0.394,0.0,0.628,315213,-6.841,0.385,4HDzsx1dJKbuL0YkffBuBm,Relaxing
70,0.539,0.116,115.004,0.0367,0.0586,0.0047,0.875,317739,-8.364,0.305,3FRLxtpSk9BxxnxdS6I4jq,Relaxing
71,0.766,0.136,112.466,0.0941,0.464,3.12e-06,0.515,274678,-7.291,0.346,0veda7gIbScyRAp2fWjDQh,Relaxing
72,0.496,0.112,82.008,0.0479,0.74,0.000347,0.699,283907,-7.88,0.75,4AFAPRCKzRN1vxhxXZn1y1,Relaxing
73,0.629,0.0941,101.058,0.0422,0.362,2.5e-06,0.783,283373,-9.753,0.837,4Va9qUpMta6PavfMwYI8MI,Relaxing
74,0.595,0.127,83.994,0.0361,0.201,0.0,0.662,347133,-6.71,0.19,31v5nWF1DsCwt8lzJWp579,Relaxing
75,0.477,0.103,149.712,0.0369,0.566,0.0,0.446,283000,-7.281,0.233,1MZbccVLcsHx8jH4wcfbBs,Relaxing
